high_extraversion,realistic,HER,The Chief Executive,"Someone asks you to give a speech at a wedding reception?  No worries.  Your neighbor needs a hand changing a tire?  Right in your, ahem, wheelhouse.  A co-worker wants to have a long, drawn-out discussion about general office morale and the social reasons behind it?  Noooo thanks.  That's just not who you are.  You want to move.  You want to accomplish.  You want to take the lead, rally the troops, and get things done.  ","Your energy is a gift to use in your interactions with the people in your life.  So is your ability to see the root of a problem and enthusiastically address it.  Your talents, along with your enjoyment of being with others, offer the potential for great joy and meaning in your personal and relational life.   ","In your activities and relationships, be careful that your knowledge and enthusiasm don't cause you to miss out on experiences and good ideas that might come from the less outgoing people around you.  And when decisions need to be made, don't short-change the thinking process.  Sometimes it may be important to think about and even - Yikes! - have a discussion before jumping into action.","**The Chief Executive** brings charisma, spontaneity, and leadership through energetic action.",You are *an effective leader* who enjoys being with others.,Your *enthusiasm and sociability* offer great potential for meaningful relationships.,Make sure your *desire for action* doesn't keep you from whatever analysis may be necessary in a given situation.
low_openness,conventional,LOC,The Tried and True,"Flighty.  Erratic.  Impulsive.  These are words that have never been used to describe you and your approach to life.  Instead, you're more likely to be described as analytical, consistent, and steadfast.  Novelty -- in ideas or approaches to certain situations at work or relationships -- doesn't really appeal too much to you.  You prefer to rely on information that you've already found to be familiar and logical.","This down-to-earth approach to life works well for you in many ways.  Rules and routines appeal to you.  It just makes sense that you'd follow directions, rather than randomly going off in a new, uncharted direction that might be full of all kinds of pitfalls and negative consequences.  You understand the importance of the details, of order, and you do your best to live and work in a way that prioritizes practicality and the tried and true.","One of the main strengths to your approach to life and work is your consistency and reliability.  People know what to expect from you.  A big drawback, however, is that you may be closing yourself off from growth and learning.  What are the chances, would you say, that you could remain the same reliable, consistent you, but also watch for opportunities to be just a bit more welcoming of new and alternative ways to approach a situation or conquer an obstacle?  How would the people in your life feel if you were a bit more open-minded?  If you can add just a touch of flexibility to your already strong reliability, you will become even more attractive and valuable to the people around you.","**The Tried and True** relies on routine, persistence, and traditional strategies to form an overall worldview and guide life decisions.","You use *trusted routines and consistency* when it's time to make decisions, whether in your work or social life.","One of your strengths is *focusing on life's smaller details*, since you realize that everything will run more smoothly if someone sweats the small stuff.",*Avoid closing yourself off* to new approaches and strategies in life; new perspectives can lead you to success in work and relationships.
high_agreeableness,realistic,HAR,The Go Getter,"Some people are really good at getting along with the people around them.  Others are assertive and competitive, ready to jump into any new situation without giving much thought to what the people around them will think.  You are unique in that you combine these two sets of characteristics.  On one hand you prize cooperation and social harmony; on the other you're independent and prefer to act when you think it's time to act, even if others don't agree.","Those are some pretty appealing attributes when it comes to how you're seen, in your social life as well as your workplace.  A can-do kind of person who knows how to tackle whatever situation arises, and who also knows how to get along with the people he or she interacts with, is often going to attract others.","One issue to think about:  How comfortable are you if someone in your life wants to take some time to think a problem through, or even -- god forbid -- discuss it for a while.  If this is the kind of thing that makes you cringe, then you might want to give it some thought.  After all, your ""jump in and solve any problem"" approach might be even more effective and valuable if you combined it with just a bit more planning and discussion of the issue at hand.","**The Go Getter** combines sociability, independence, and a pursuit of results go achieve immediate action.",You *prefer jumping into problems* rather than endlessly discussing them.,You also *get along well with others*.,"Instead of taking a ""leap before you look"" approach to new issues that arise, *consider being more flexible* when it comes to discussing alternative perspectives."
high_agreeableness,investigative,HAI,The Super Sleuth,"You have a pretty unique skill-set in that on one hand, you're good at cooperating with others and creating social harmony with those around you.  On the other hand, you typically take an analytical approach to your life, preferring to make most decisions and respond to situations from an independent, analytical perspective.  This combination, where you join people skills with an independent spirit, most likely serves you well at work and in your relationships, since people usually prize someone who thinks for themselves while also getting along with others.","It might even be that you could more fully use your social skills when it comes to how you accomplish certain tasks.  For example, it appears that you really enjoy individual research and analysis.  Well, your findings might become even more effective and valuable if you were to bounce some of those findings and ideas off of someone you trust.  Even though you're careful and methodical when you approach a task, it might be that by working with someone else, you'd be able to come up with a solution to a problem that's even more unique or insightful than the one you'd come to on your own.","Watch for ways to combine these different parts of yourself.  The more you can integrate the people-loving aspect of your personality with the curious and independent analytical part of yourself, the more you'll be able to see things from whole new perspectives, and accomplish even more along the way. ","**The Super Sleuth** provides independent thinking and analytical research skills, while also valuing cooperation and social harmony. ",You *excel at cooperation* and understand the importance of getting along with others.,You also enjoy the *freedom and independence* that come with a lone-wolf approach.,"As much as possible, *integrate* your independent mindset and people skills so you can see problems from a variety of perspectives."
high_agreeableness,artistic,HAA,The Free Spirit,"Getting along with other people is something you typically do really well.  You approach life from an enthusiastic and generous perspective.  Because of your creative and artistic personality, combined with your agreeable nature, you bring a unique and valuable skill set to any work or social environment.  Whereas some people with your creative temperament might have trouble relating with others, you thrive when it comes to cooperation and social harmony.  This is a huge benefit, whether we're talking about your professional life, or your personal life and relationships.","There are, though, a couple of potential pitfalls you want to remain aware of.  For one, your artistic personality may leave you less comfortable with structure, and with following rules that are often necessary in a relationship or a work environment.  Also, your desire to maintain good social relationships could potentially make it harder for you to make difficult or unpopular decisions when they're required.  ","As long as you remain aware of these possible tendencies, you'll most likely remain someone who's not only valued by the people around you, but someone who can make important contributions in any environment.","**The Free Spirit** brings enthusiasm, creativity, and sociability through an artistic perspective.","You are *sociable and artistic*, loving people and creativity.","It's important that you *balance your tendencies*, so that you don't worry too much about what other people think, or fail to acknowledge rules and routines that are important in certain situations.","Work on staying willing to make difficult decisions when they're called for, and realize that at times, you may *need to somewhat compromise some of your creative tendencies* for the good of a team or relationship."
high_agreeableness,social,HAS,The Host,"""Plays well with others.""  There's a good chance that your kindergarten teacher wrote something like that on your first report card.  Not only do you enjoy being with other people, you actually trust those around you for the most part.  You've been rewarded through the years for this optimistic outlook on human nature, in that you've developed strong relationships and helped a lot of people along the way.  Your friends and coworkers likely view you as a good team member and appreciate your ability to use feelings, words, and ideas to get things done.","Continue to use this strength in your dealings with the people you live and work with.  But keep in mind that at times, you may need to make decisions that aren't popular.  There's nothing inherently wrong with being a people pleaser.  Just make sure that your desire for strong and healthy relationships doesn't keep you from making tough or objective decisions.  You'll gain even more respect from the people in your life if you can combine your people skills with a strong, independent mind.","Make sure, too, that before you compromise your own needs and desires, you've considered whether this is a healthy choice that will lead you to feel happier more fulfilled. ",**The Host** can easily form meaningful relationships due to strong social skills and a desire to help others.,You *get along well with others* and like to use this ability to help the people you interact with.,"Make sure, though, that your concern for how others feel doesn't keep you from making difficult decisions when they're called for.","It's also important that you *take care of yourself while taking care of others*, and that you make choices that are good everyone involved--including, of course, yourself."
high_agreeableness,enterprising,HAE,The Trailblazer,"You show signs of having great strength when it comes to working and interacting with other people.  You know how to cooperate with the people around you, and you like leading others.  This is a powerful combination, because your ability to work with the people around you can give you a better chance at getting some of your big ideas off the ground.","After all, you do like the big idea.  You can see opportunities that others miss, and you enjoy using your way with words to persuade others to get on board.  You have a basically optimistic outlook on human nature, and this is one thing that leads you to believe that you can solve big problems and accomplish great things.","Watch out, though, that your desire to cooperate and to have people follow you, doesn't keep you from making decisions that others won't like. Whether in your work or your relationships, there are going to be times that you have to remain objective and make  tough calls, even when they're unpopular.","**The Trailblazer** brings optimism, leadership, and cooperation together with a big-picture perspective.",You are a *natural leader* who's willing to think big.,"You can *effortlessly cooperate* with, and even lead, the people in your life.","Sometimes you have to make difficult decisions, even if doing so interferes with the social harmony of your work and relational life."
high_agreeableness,conventional,HAC,The Team Player,"Some people have a hard time getting along with others.  Not you.  The people in your life find you considerate and friendly, and they know that when they ask for your help, not only are you ready and willing to offer your assistance, you're going to fully commit to addressing whatever issue has come up.  As a result, you're highly valued by those who know you best.  ","That doesn't mean that you care that much whether people follow your lead.  In fact, in your personal and professional life, leading others isn't really your thing, since your preference is to follow directions, rather than give them.  Many people will really appreciate that.  Your constancy and attention to detail are important attributes that can serve you well in relationships and in work environments. "," At some point someone close to you may ask you to make an unpopular decision or go against an established routine. Stay true to who you are, but watch for times when it might be advantageous to step outside of your comfort zone.  ","**The  Team Player** brings reliability, cooperation, and teamwork to the table and is thus often a valued partner or team member.",You enjoy *rules and routines* and are counted on by those who know you to be *constant and reliable*.,You also get along well with others and know how to *collaborate and cooperate*.,"Work on being willing to make unpopular decisions or go against an established routine if necessary, even when it makes you uncomfortable."
low_agreeableness,realistic,LAR,The Lone Ranger,"When a new issue comes up in your life or at your work, something like this might go through your mind:  ""Just get out of my way, and I'll get it done.  Don't make me work with a group, and for god's sake don't make me discuss it to death.""  You enjoy hard work, especially if you get to use your hands.  Even better if you get to be outdoors.  And people know they can count on you to jump right in when an obstacle arises.","One thing you don't enjoy so much is having to interact with others while you're trying to get something done.  It just doesn't make sense.  You can see the problem, and you'll be able to address it and complete the job, so there's no reason to bring in someone else who might just muck things up and make the whole task harder than it needs to be.","Your tough-minded independence can be a real strength, especially in a world where it's increasingly rare.  However, as you probably already know, that strength can cause problems in relationships, where collaboration and give-and-take are absolute requirements.  So try to stay open-minded to ways other people might be able to help you see things differently, and even do your job even better.  A long, drawn-out discussion may not be necessary, but with a bit more careful analysis, it might be that you can tackle issues even more effectively, not to mention learn something along the way.  ","**The Lone Ranger** provides hard work, reliability, and perseverance, focused through a lens of fierce independence.",You prefer *diving into action* rather than endlessly discussing possible alternatives.,You value *independence and autonomy*.,"While collaboration and cooperation aren't your strong suits, they could make you even more effective and happy in your work life and relationships, and teach you something along the way."
low_agreeableness,investigative,LAI,The Scientist,"Cooperate?  Collaborate?  Interact?  Sheesh.  It can get exhausting, hearing people always talk about how important it is to work with others.  Instead, you highly value your independence, whether that's at work or in your social life.  When you have to make a decision, you like to look at  the issue, analyze and understand the information, then come up with a logical and maybe even insightful solution.  Preferably by yourself.","It's not that you think others couldn't possibly be helpful to you during this process.  It's just that if you want something done right, well, then you don't want a bunch of other people mucking up the procedure.  ","One thing you might want to consider, from a logical, analytical perspective:  Isn't it at least possible that sometimes, your analysis might be improved if another good mind were working with you?  Isn't there a chance that you might discover an even more interesting and insightful response to whatever issue you're addressing?   We're not saying not to stay true to who you are; just that you might want to remain open to the possibility that adding the insight of another perspective might allow you to be even more effective than you already are.","**The Scientist** brings logic, analytical intuition, and independence through thoughtful action.","You like tackling complex problems with *logic, independent analysis, and creative autonomy*.",You're *less interested in collaborating* with someone else to address a problem or respond to a situation.,"Consider the fact that two minds might, at least in some instances, be better (and even more fun) than one."
low_agreeableness,artistic,LAA,The Soloist,"When you're taking on a particular task, you have a vision for how it should be done.  You're not interested in rules and conventions, and you sure don't want others coming around trying to influence how your work should go.  You want to use your own creativity, and your own imagination, to handle the issue the way it should be handled.","That's one reason you sometimes cringe at the thought of collaboration.  The way you see it, independent thought and expression are going to take you a lot further than having to participate in some sort of group-think.  You don't mean to be unfriendly about it, it's just that an unstructured, unencumbered atmosphere where you get to make good decisions on your own gives you the best chance of coming up with a creative and insightful response to whatever the situation calls for.","Your commitment to independent thought is admirable.  But realize, too, that genius rarely occurs in a vacuum.  Aristotle had Plato, Rogers had Hammerstein,  Kermit had Miss Piggy.  All of these individuals took their own, individual sparks, and joined them with the ideas and insights of another, and created something even more valuable as a result.  The point isn't to change who you are.  Your independent thought is powerful, so continue to rely on it.  But stay open to the possibility that even greater insights might be possible when you join your vision with that of another.","**The Soloist** brings independence, vision, and imagination through a fiery sense of artistic passion.","You value *creativity, autonomy, and independence*.",You find that when other people try to help you--with a decision or a project--they often just get in your way.,"Stay true to your *independent spirit*, but *remain open* to the possibility that by joining forces with another person, or with a group of people, you might be able to accomplish even more."
low_agreeableness,social,LAS,The Paradox,"Even though you often feel compelled to spend your time helping others, you usually feel fairly uncomfortable when you're asked to get along with and rely on the people around you.  It's not that you're a loner, it's just that you're not sure you trust people to be consistently honest and decent.","This can cause difficulties in your social and work environments, in that you experience the fact that your different feelings and desires are pulling you in opposite directions.  In one way you care about and like helping the people around you; but on the other hand, working too closely with them can make you feel a bit crunchy inside.  ","These disparate feelings about the people in your life are probably worth exploring in some way.  The more you can get a handle on the different desires that are in conflict with each other, the more you'll be able to achieve in your work and relationships.","**The Paradox** is marked by an innate sense of apprehensive sociability, produced by a desire to help people but a reluctance to get too close to them.",You feel an innate desire to *help and support* the people you come into contact with.,"However, you feel *uncomfortable relying on others* to help you when it comes to important projects or decisions.","We recommend that you consider these conflicting feelings, looking for ways to *open yourself up* more to the people around you, the ones you want to care for."
low_agreeableness,enterprising,LAE,The Igniter,"You have legitimate skill when it comes to leading and persuading others.  You're a good talker, and as a result you can organize others and inspire them to get things done.  You love the big idea, and you don't mind taking risks when great rewards are possible.","Interestingly, though, you don't always enjoy interacting with the people around you.  It's not that you're a loner.  On the contrary, it's when you're working with others and leading them towards a goal that you feel most satisfied.  But still, in your social and work lives, you're not exactly vibing on the collaboration and cooperation.  People, for you, are more of a necessary evil you have to put up with, rather than a valuable resource from which to draw strength or inspiration.","We don't suggest that you  change who you are when it comes to interacting with others.  But like it or not, the big idea rarely comes into existence because of just one person.  Chances are you're going to need other people, so you'll do yourself a favor if you accept that fact and work on getting along with, and even learning from, the people in your life.","**The Igniter** brings organization, inspiration, and leadership through a knack for persuasive sociability.","You excel at *leadership, organization, and persuasion*, and you're willing to ""go for it"" when it comes to the big idea.","You can use your vision to *inspire others*, despite the fact that you often don't enjoy interacting with the people around you.","Work on further developing and deepening your relationships with those close to you, as they can be a powerful resource that can help you accomplish even more.  "
low_agreeableness,conventional,LAC,The Designer,"One phrase that rings true for you is, ""A place for everything and everything in its place.""  In fact, your love of order and structure is probably one reason other people can get on your nerves.  It's frustrating to you when the people in your life ignore routines and order and make things less clear and structured.","One of the things you enjoy most in life is to be given a task and allowed to do it.  You're good at following directions, and your constancy and attention to detail are significant strenghts that are valued both at work and in your relationships.  ","Don't forget, though, that in most jobs, and definitely in relationships, working with people is more than a necessary evil.  It's the way things are done.  And more than that, it also often gives you a chance to accomplish more than you can by yourself.  One way you can make it more enjoyable to interact with others is to communicate clearly with your friends and coworkers about what you like and don't like.  The better you all understand one another, the more you'll enjoy one another, and the more you'll be able to accomplish as a partnership or a team.","**The Designer** is able to work independently and with an eye for detail to bring organization, structure, and clarity.",You can *focus on the small details* of a project or situation and make sure everything runs smoothly--especially if someone gives you clear directions for doing so.,"You value *structured routines and order*, and your preference is to handle most things by yourself rather than working as a team or in a partnership.",*Work on remaining open* to interacting with and even learning from the other people in your life.
high_conscientiousness,realistic,HCR,The Laser Beam,"Maybe it's true that there are no stupid questions.  But as far as you can tell, there sure are a lot of inquisitive idiots running around asking about things that are pretty simple.  Your advice to them?  Just do things the right way, the way they should be done.  At your job and in your personal life, you're less interested in discussing a possibility to death, and more interested in jumping right in and tackling an issue head-on.  ","As a result, you typically accomplish a great deal, and others pretty much know what to expect from you.  They can count on you to address any problem and face any issue with your no-nonsense approach, and they know you'll do all you can to do things the right way. ","Keep in mind, though, that there's more than one way to skin a cat.  Others may be less methodical than you when it comes to addressing an obstacle, but their spontaneity may offer certain advantages that provide a nice counter-balance to your steady approach.  The same goes for people who want to study and discuss an issue before springing to action; that kind of approach might make your action-oriented tactics even more effective.  So stay true to who you are, but remain open to new ways of addressing certain problems.","**The Laser Beam** brings accomplishment, perseverance, and reliability through an action-oriented mindset.",You prefer *jumping into action* over endlessly discussing assignments.,"It's important to you that *you do things the right way*, paying attention to the details that matter.",Avoid assuming that your way is the only way to respond to a situation that arises; *remain flexible and be willing to listen* to others who work from a more spontaneous approach to life.
high_conscientiousness,investigative,HCI,The Algorithmist,"There was a character named Mr. Spock on the original ""Star Trek"" TV show.  He served as the Science Officer for the USS Enterprise, and he became famous for offering an emotionally detached, logical perspective on any problem that came up.  We don't know whether you watched the old program, but if not, we'd like to introduce you to Spock.  We think you'd like him.  It's not that you're emotionless; not at all.  But give you a puzzle, and you'll solve it.  Offer a riddle, and you'll figure it out.  If you can't come up with an answer by your own analysis, you'll lose sleep and skip meals researching until the issue is solved.  There was a character named Mr. Spock on the original ""Star Trek"" TV show.  He served as the Science Officer for the USS Enterprise, and he became famous for offering an emotionally detached, logical perspective on any problem that came up.  We don't know whether you watched the old program, but if not, we'd like to introduce you to Spock.  We think you'd like him.  It's not that you're emotionless; not at all.  But give you a puzzle, and you'll solve it.  Offer a riddle, and you'll figure it out.  If you can't come up with an answer by your own analysis, you'll lose sleep and skip meals researching until the issue is solved.  ","And you do things the right way.  Others may act impulsively or seize the first option that presents itself, but snap decisions aren't really your thing.  You prefer planning and persistence, knowing they'll pay off.  No doubt you've seen a ton of success with this approach to whatever obstacle pops up before you.  ","But keep in mind that lots of other approaches can produce success as well.  For example, faced with a time constraint at work, you may need to act more swiftly than you're usually comfortable with.  Or in a relationship, the ""Spock Approach ""may not be effective at all.  There may come a time when an apparently logical perspective needs to be massaged because of the way it'll affect the people involved.  Or maybe you'll face a situation where you need to worry less about logic, and more about emotions, or morality, or ethics.  So stick to your methodical approach that's been so successful, but remember, there's more than one way to skin a cat.",**The Algorithmist** delivers timely results through a rigorous routine of conscientious planning and perseverance.,You always *analyze and plan* before leaping into action.,You care a great deal about doing things the right way.  Always.,*Be careful not to become too rigid* in your approach to life; there are lots of different ways to look at and respond to an issue.
high_conscientiousness,artistic,HCA,The Architect,"Integrity is a hallmark of who you are.   You care about using your creativity and imagination to produce something new and worthwhile.  Others might be willing to simply settle for a short-term fix to any problem that arises, or to impulsively offer what appears to be a solution.  But for you, what matters is seeing the issue before you, then planning out an inventive, original response that'll accomplish what needs to be done.","This approach to your life and work and relationships is admirable in about a million ways.  But keep in mind that perfectionism can also end up being counter-productive; it can even lead to paralysis.  There may be times--because of a time constraint or some other reality--that you'll need to settle for the very good, instead of achieving the great.  This is especially true in relationships, where compromise is pretty much a requirement. "," So stay true to your principles, and to who you are; after all, your planning and persistence are keys to the success you've seen in your life.  But keep an open mind that there may be other ways to achieve a desired end, and there may be situations where you're asked to be more spontaneous or even impulsive.",**The Architect** brings creativity and inventive imagination through a passionate sense of artistic integrity.,"You excel at *implementing original solutions to complex problems*, and you're committed to doing things the right way.",You use your *creativity and vision* to find effective alternative approaches to deal with situations that arise in your life.,Sometimes you may need to *abandon your perfectionism* and compromise when a situation calls for it.
high_conscientiousness,social,HCS,The Giver,"Mother Theresa once said, ""Give the world your best and it may not be enough.  Give your best anyway.""  We're guessing that something within you responds to Mother Theresa's quote in a pretty big way.  You care about people.  A lot.  Plus, you're extremely conscientious.  The way you see it, if you're going to do something, you might as well do it right.  The first time.  Regardless of what anyone else says. ","This blending of caring and conscientiousness is a pretty powerful combo.  After all, it's not that often that you find someone who takes such pride in achieving a high level of quality in whatever they do, who can still maintain a commitment to treating people the right way.  That's a unique skillset that can allow you to pull people together and unite them for a common cause. It also allows you to succeed in ways other simply can't.","But remember, too, that other approaches to a given situation may produce success as well.   Be wary of your tendency towards perfectionism.  Even though you like to plan and formulate a strategy before tackling a particular obstacle, keep in mind that there may be moments when you have to compromise with others or approach a situation from an alternative perspective.","**The Giver** brings foresight, leadership, and organized planning through structured sociability.",You *get along well with others*.,"Whatever you do, you want to do it right.","*Remain open* to sacrificing or compromising when necessary, since flexibility can allow you to be even more helpful to the people you care about."
high_conscientiousness,enterprising,HCE,The Entrepreneur,"For you, God's not only in the details, but in the big idea as well.  That's a pretty powerful combination, whether we're talking about your job or your social life and relationships.  Not only are you able to see the big picture and inspire others to believe in it, you also have the capacity to purposefully plan and carry out a strategy for making it a reality. ","The energy and enthusiasm you bring to life is one reason people want to be around you and will follow you.  Another is the respect you earn when you roll up your sleeves and methodically go to work on getting things done--the right way.  One of the best things you can do to achieve success -- in a career, or in a relationship -- is to live your life as someone others know they can count on.","Be patient with the people around you who approach tasks differently, and remain open to new ways to tackle issues as they arise.  Compromise and flexibility are strengths for you to further develop, since sometimes a less meticulous strategy can result in new and surprising solutions to a problem.","**The Entrepreneur** brings energy, enthusiasm, and a focused attention to detail through a big-picture perspective.",You have a *big-picture perspective*.,"You can break down and plan out assignments in order to achieve fantastic results, and you care about *doing things the right way*.",*Work on becoming even more flexible* in the way you look at situations in your life; don't get stuck thinking there's only one way to approach an issue.
high_conscientiousness,conventional,HCC,The Detailer,"As far as you're concerned, ""Throw caution to the wind"" is a phrase used by irresponsible adrenaline addicts who accomplish little and suffer all kinds of undesirable, long-term consequences.  Your approach to life and work is measured and sensible.  You love structure and order, and you see rules and routines as your friends.  By doing things the right way, crossing every ""t"" and dotting every ""i,"" you can feel comfortable knowing that your planning and persistence will pay off. ","Because of your high level of conscientiousness, you're most likely known as someone others can count on.  At work and in your social life and relationships, people view you as solid and dependable.","One temptation for you to resist is to immediately dismiss any new idea or approach offered by someone who arrives at solutions differently from you.  Your commitment to doing things right is admirable.  Just don't let your desire to follow directions or observe a set routine cause you to miss out on learning something new, or seeing a novel way to approach a situation that pops up.  In other words, stay true to who you are, continuing to take pride in whatever you do, but also work hard to remain open-minded in all facets of your life--your job, your social life, and your relationships.","**The Detailer** uses persistence, planning, and an attention to rules and routines, to achieve high-quality results.","You always *analyze and plan* before leaping into action, relying on trusted routines and traditional strategies to achieve ideal results.","As a result, *people know they can count on you*.","Sometimes you should *consider new approaches to situations*, rather than sticking to your favorite routines out of habit."
low_conscientiousness,realistic,LCR,The Charger,"One thing the people who know you probably love about you is that you're ready to take charge and take care of whatever needs to be accomplished.  Like Larry the Cable Guy, your response when a new task presents itself is, ""Let's get 'er done.""  There's a lot to appreciate in someone who brings this kind of enthusiastic response to whatever situation presents itself.","One potential problem, though, is that your eagerness to get things done sometimes gets the best of you.  You have a tendency to act before you've thought through your strategy or fully determined your long-term goal.  ","Again, there are definite advantages to being willing to take charge at any point and time.  But a ""leap before you look"" approach to life can cause  significant problems as well.  Unless you can find a way to be a bit more cautious at times, and to think through the different possible outcomes of your actions,  you're going to severely limit how successful you will be, whether it's at work or in your social life and relationships.","**The Charger** brings leadership, a direct approach, and tenacity through enthusiastic spontaneity.",You know how to *take charge and dive into action*.,People often appreciate your enthusiastic willingness to jump in and contribute when any situation presents itself.,"Caution, though, and *careful planning*, should also be tools you use at times, so that when you throw yourself into action, you have a greater chance of success."
low_conscientiousness,investigative,LCI,The Explorer,"Dr. Jeckyll, meet Mr. Hyde.  You seem to have two main parts of yourself.  On one hand, you can be impulsive, making quick decisions when faced with a dilemma or problem.  On the other hand, though, especially when it comes to big life decisions or an important work project, you like to collect information and analyze situations before making decisions.","It's good to be able to come at a problem from different perspectives, but these contradictions may leave you feeling somewhat divided within yourself at times.  ","Now might be a good time to explore this dichotomy a bit.  What makes you feel so comfortable making a snap decision on an issue sometimes, while at other moments you feel the need to fully think something through?  The more you can get clear on your own preferences for how to approach a situation, the more effective you'll be in your workplace, in your relationships, and probably in your life as a whole.","**The Explorer** brings versatility, making decisions both impulsively and after a long planning process.",Sometimes you *gather information and analyze problems* before diving into action.,At other times you're *not that interested in planning* ahead and considering possible consequences.,"It's fine to be impulsive, but *don't get caught being careless* about the important details of your life. "
low_conscientiousness,artistic,LCA,The Free Verse Poet,"Spontaneity and creativity guide you in the way you live your life.  Rules?  Not for you.  Structure?  No thanks.  The way you see it, the minute you start caring about what others think, is the minute you stop being yourself.  ",This willingness to free yourself from society's expectations and follow your own imagination can help you create all kinds of new ways to approach  whatever situation comes up. You've probably noticed that sometimes you're the first one to come up with a novel idea or solution that's stumped everyone else.,"The drawback, though, as you've no doubt already seen, is that your impulsiveness can sometimes make you seem less responsible or reliable.  You may have found that your spontaneity can produce negative consequences in terms of how you're perceived by your co-workers, and by the people you're in relationship with.   There's no need to change who you are; your fun-loving, artistic personality is a strength you should capitalize on.  However, the more you can also consider the expectations of those around you, and show yourself to be reliable and consistent, the more your spontaneity will shine as a strength, rather than a potential limitation.",**The Free Verse Poet** invents revolutionary approaches and solutions through an innate sense of creative spontaneity.,You use *creativity and imagination* to implement original solutions to complex problems.,You *value creative freedom and autonomy* in your work and relationships.,Sometimes you should *balance your spontaneity* with a reliability and stability that will enhance your relationships at work and in your social life.
low_conscientiousness,social,LCS,The Connector,"OK, so you're not the most responsible person in the world.  You admit it.  But one of the things you're really good at is connecting with others.  In fact, that's kind of the point for you:  People matter more than ideas or things or deadlines.  You care about helping people, and you enjoy the closeness and connection you feel when you're in a group.  You have a spontaneous nature, and that may be part of why you're good at developing relationships.  Those around you may see you as fun because of your impulsive tendencies.","Your commitment to people is admirable, and your empathy and sensitivity to others can help you solve problems that come up, sometimes before other people are even aware of them.  ","But keep in mind that, especially at work or in serious relationships, there will be certain expectations when it comes to your reliability and constancy.  Commitment and trust are requirements in any relationship, and planning and persistence, even if they don't come naturally to you, can take you a long way if you work at them.  So continue to use your social skills and gifts, but don't neglect meeting whatever responsibilities you have to the people you care about.",**The Connector** brings caring sensitivity and enthusiasm through spontaneous sociability.,You *get along well with others* and care about the people around you.,You *value individuals* over abstract ideas like deadlines and other so-called responsibilities.,Add to your notable social gifts a reliability and responsibility that will deepen the trust others have in you.
low_conscientiousness,enterprising,LCE,The Trendsetter,"Some people love the details.  You? Not so much.  You're into the big picture.  You're an idea person. You want to organize and lead others, taking them further than they would go by themselves.  Whether it's at your job or in your social life, you bring a high-energy approach to pretty much whatever you do. These visionary tendencies are a real strength for you, especially when you combine them with hard work and careful planning.","But that's the problem for you, at least potentially.  You value spontaneity, perhaps a bit too much.  Instead of gathering information and analyzing a situation when faced with a situation in your career or in a relationship, you're more likely to make a quick, bold decision.  The willingness to take a risk can bring with it a big pay-off, but the dangers can be great as well.  ","So remain aware of your strengths, as well as where you can use some help.  After all, we all need each other, and no one creates anything great by themselves.  Find people in your life who can balance your big-idea perspective with down-to-earth planning and stability, who can give some foundation to your visions and dreams.  ","**The Trendsetter** provides vision, leadership, and spontaneity along with a big-picture perspective.",You excel at *leadership and spontaneous action*.,"*Hard work and careful planning* can help bring your visions to life, but offering a methodical approach isn't exactly your strong suit.",Watch for ways to include people in your life who can offer a stable and consistent foundation for your *lofty dreams and ideals*.
low_conscientiousness,conventional,LCC,The Impulse Planner,"It's not that you have a dual personality, but you do seem to live your life guided by two distinct parts of yourself.  At times, you're perfectly willing to act spontaneously, even impulsively.  At moments like these, you have almost no interest in analyzing a situation or gathering information to help you make a decision.  But at other times, like when you're given a task at work, or an issue comes up in a relationship, you can be just the opposite.  Then you become methodical, completing projects and addressing situations by following routines and observing every little detail.","Each of these parts can serve you well.  The spontaneous aspect of your personality can keep life exciting, for you and for the people around you.   Likewise, the deliberate, structured part of yourself can give you a stability that can ground you and keep you from going too far off the rails.","This division within yourself is something that would probably be good to explore a bit.  Ask yourself what makes you sometimes swing back and forth between impulsivity and conscientiousness.  If you can get more clear on this apparent contradiction, you'll have a better sense of who you are, and how you can be more effective and productive, in both your professional and personal lives.","**The Impulse Planner** is often methodical and deliberate, but can also shift into an approach to life and relationships guided by spontaneity and impulsivity. ","You are comfortable making *spontaneous decisions*, but you often prefer to *dissect and analyze* projects before diving into action.",These dual aspects of your personality can serve you well if you can *balance them* and not let either one overpower the other.,"Spend some time observing and thinking about these two ways you approach life, watching for ways you can achieve an even healthier balance between the two."
